title,link
ScanSeq,https://jeonghopark.github.io/scanseqjs/
Neal.fun,https://neal.fun/
The True Size,https://thetruesize.com/
NVIDIA GauGAN,http://gaugan.org/gaugan2/
World Airports Voronoi,https://www.jasondavies.com/maps/voronoi/airports/
The Uncensored Library,https://www.blockworks.uk/the-uncensored-library
Library of Babel,https://libraryofbabel.info/
MIT Hacks,http://hacks.mit.edu/
Nand to Tetris,https://www.nand2tetris.org/
Conway's Game of Life,https://playgameoflife.com/
Itty.bitty,http://about.bitty.site/
Evolution,https://keiwan.itch.io/evolution
Ideal monitor rotation,https://sprocketfox.io/xssfox/2021/12/02/xrandr/
Responsive pixel art,https://essenmitsosse.de/pixel/
Minecraft computer,https://www.youtube.com/watch?v=FDiapbD0Xfg
Desmos art,https://www.youtube.com/watch?v=4_8eY_Ij-5k
Drive & Listen,https://driveandlisten.herokuapp.com/
Two-way door decisions,https://www.sec.gov/Archives/edgar/data/1018724/000119312516530910/d168744dex991.htm
"Maker's schedule",http://www.paulgraham.com/makersschedule.html
Issue Detector,https://issuedetector.com/
Internet Is Beautiful,https://www.internetisbeautiful.co/
whats.new,https://whats.new/
